cc_bio,code_3,code_2,nom_scient,nom_fr,vc_code,usda_symbol,usda_code
Abbal,SAB,SB,Abies balsamea,Sapin baumier,7159,ABBA,12
Acneg,ERG,,Acer negundo,Érable à Giguère,9206,ACNE2,313
Acnig,ERN,EI,Acer nigrum,Érable noir,9207,ACNI5,314
Acpen,ERP,,Acer pensylvarnicum,Érable de Pennsylvanie,9209,ACPE,315
Acpla,ERB,EE,Acer platanoides,Érable de Norvège,9210,ACPL,320
Acrub,ERR,EO,Acer rubrum,Érable rouge,9212,ACRU,316
Acsac,ERS,ES,Acer saccharum,Érable à sucre,9214,ACSA3,318
Acsaci,ERA,EA,Acer saccharinum,Érable argenté,9213,ACSA2,317
Acspi,ERE,,Acer spicatum,Érable à épis,,,
Alcri,AUC,,Alnus crispa var. mollis,Aulne crispé,,,
Alrug,AUR,,Alnus rugosa var. americana,Aulne rugueux,,,
Armel,ARM,,Aronia melanocarpya,Aronia noir,,,
Beall,BOJ,BJ,Betula alleghaniensis,Bouleau jaune,3685,BEAL2,371
Begla,BEG,,Betula glandulosa,Bouleau glanduleux,,,
Bepap,BOP,BP,Betula papyrifera,Bouleau à papier (blanc),3697,BEPA,375
Bepop,BOG,,Betula populifolia,Bouleau gris (à feuilles de peuplier),3699,BEPO,379
Bepum,BEP,,Betula pumila,Bouleau nain,,,
Cacar,CAR,,Carpinus caroliniana,Charme de Caroline,3720,CACA18,391
Cacor,CAC,CC,Carya cordiformis,Caryer cordiforme,6235,CACO15,402
Caova,CAF,CF,Carya ovata,Caryer ovale,6239,CAOV2,407
Ceocc,CEO,,Celtis occidentalis,Micocoulier occidental,4192,CEOC,462
Coalt,COA,,Cornus alternifolia,Cornouiller à feuilles alternes,,,
Cocor,COC,,Corylus cornuta,Noisetier à long bec,,,
Coper,COP,,Comptonia peregrina,Comptonie voyageuse,,,
Costo,COR,,Cornus stolonifera,Cornouiller stolonifère,,,
Dilon,DIE,,Diervilla lonicera,Dièreville chèvrefeuille,,,
Dipal,DIR,,Dirca palustris,Dirca des marais,,,
Fagra,HEG,HG,Fagus grandifolia,Hêtre à grandes feuilles,5957,FAGR,531
Frame,FRA,FA,Fraxinus americana,Frêne d'Amérique,6726,FRAM2,541
Frnig,FRN,FO,Fraxinus nigra,Frêne noir,6729,FRNI,543
Frpen,FRP,FP,Fraxinus pensylvanica,Frêne de Pennsylvanie,6730,FRPE,544
Ilver,ILV,,Ilex verticillata,Houx verticillé,,,
Jucin,NOC,NC,Juglans cinerea,Noyer cendré,6242,JUCI,601
Jucom,JUC,,Juniperus communis,Genévrier commun,,,
Juhor,JUH,,Juniperus horizontalis,Genévrier horizontal,,,
Juvir,JUV,,Juniperus virginiana,Genévrier de Virginie,,,
Ladec,MEU,ME,Larix decidua,Mélèze européen,7164,LADE2,6212
Lalar,MEL,ML,Larix laricina,Mélèze laricin,7166,LALA,71
Lalep,MEJ,MJ,Larix leptolepis,Mélèze japonais,,,
Locan,LON,,Lonicera canadensis,Chèvrefeuille du Canada,,,
Lohir,LOH,,Lonicera hirsuta,Chèvrefeuille hirsute,,,
Lovil,LOV,,Lonicera villosa,Chèvrefeuille velu,,,
Mygal,MYG,,Myrica gale,Myrique baumier,,,
Nemuc,NEM,,Nemopanthus mucronatus,Némopanthe mucroné,,,
Osvir,OSV,OV,Ostrya virginiana,Ostryer de Virginie,3727,OSVI,701
Paqui,PAQ,,Parthenocissus quinquefolia,Parthénocisse à cinq folioles,,,
Piabi,EPO,EV,Picea abies,Épinette de Norvège,7169,PIAB,91
Piban,PIG,PG,Pinus banksiana,Pin gris,7181,PIBA2,105
Piglau,EPB,EB,Picea glauca,Épinette blanche,7173,PIGL,94
Pimar,EPN,EN,Picea mariana,Épinette noire,7174,PIMA,95
Pires,PIR,PR,Pinus resinosa,Pin rouge,7193,PIRE,125
Pirig,PID,PC,Pinus rigida,Pin rigide,7194,PIRI,126
Pirub,EPR,EU,Picea rubens,Épinette rouge,7177,PIRU,97
Pistr,PIB,PB,Pinus strobus,Pin blanc,7195,PIST,129
Pisyl,PIS,PS,Pinus sylvestris,Pin sylvestre,7196,PISY,130
Pobal,PEB,PA,Populus balsamifera,Peuplier baumier,9044,POBA2,741
Podel,PED,PL,Populus deltoides,Peuplier deltoïde,9047,PODE3,742
Pogra,PEG,PD,Populus grandidentata,Peuplier à grandes dents,9049,POGR4,743
Potre,PET,PT,Populus tremuloides,Peuplier faux tremble,9053,POTR5,746
Prpen,PRP,,Prunus pensylvanica,Cerisier de Pennsylvanie,8871,PRPE2,761
Prser,CET,CT,Prunus serotina,Cerisier tardif,8876,PRSE2,762
Prvir,PRV,,Prunus virginiana,Cerisier de Virginie,8881,PRVI,763
Qualb,CHB,CB,Quercus alba,Chêne blanc,5959,QUAL,802
Qubic,CHE,CI,Quercus bicolor,Chêne bicolore,5960,QUBI,804
Qumac,CHG,CG,Quercus macrocarpa,Chêne à gros fruits,5965,QUMA2,823
Qurub,CHR,CR,Quercus rubra var.,Chêne rouge,5970,QURU,833
Rhaln,RHA,,Rhamnus alnifolia,Nerprun à feuilles d'aulne,,,
Rhcat,RHM,,Rhamnus cathartica,Nerprun cathartique,8597,RHCA3,6918
Rhrad,RHR,,Rhus radicans,Sumac grimpant,,,
Rhtyp,RHT,,Rhus typhina,Sumac vinaigrier,,,
Riame,RIA,,Ribes americanum,Gadellier américain,,,
Ricyn,RIC,,Ribes cynosbati,Groseillier des chiens,,,
Rigla,RIG,,Ribes glandulosum,Gadellier glanduleux,,,
Rihir,RIH,,Ribes hirtellum,Groseillier hérissé,,,
Rilac,RIL,,Ribes lacustre,Gadellier lacustre,,,
Ritri,RIT,,Ribes triste,Gadellier amer,,,
Roaci,ROA,,Rosa acicularis,Rosier aciculaire,,,
Ruall,RUA,,Rubus alleghaniensis,Ronce des Alléghanys,,,
Ruida,RUI,,Rubus idaeus,Framboisier rouge,,,
Ruocc,RUO,,Rubus occidentalis,Framboisier noir,,,
Ruodo,RUD,,Rubus odoratus,Ronce odorante,,,
Sacan,SAC,,Sambucus canadensis,Sureau blanc,,,
Sapub,SAP,,Sambucus pubens,Sureau pubescent,,,
Shcan,SHP,,Shepherdia canadensis,Shépherdie du Canada,,,
Soame,SOA,,Sorbus americana,Sorbier d'Amérique,8963,SOAM3,935
Sodec,SOD,,Sorbus decora,Sorbier plaisant,8965,SODE3,937
Splat,SPL,,Spiraea latifolia,Spirée à larges feuilles,,,
Sptom,SPT,,Spiraea tomentosa,Spirée tomenteuse,,,
Tacan,TAC,,Taxus canadensis,If du Canada,,,
Thocc,THO,TO,Thuja occidentalis,Thuya occidental,4711,THOC2,241
Tiame,TIL,TA,Tilia americana,Tilleul d'Amérique,6640,TIAM,951
Tscan,PRU,PU,Tsuga canadensis,Pruche de l'Est,7202,TSCA,261
Ulame,ORA,OA,Ulmus americana,Orme d'Amérique,9424,ULAM,972
Ulrub,ORR,OO,Ulmus rubra,Orme rouge,9430,ULRU,975
Ultho,ORT,OT,Ulmus thomasii,Orme de Thomas,9431,ULTH,977
Vialn,VIL,,Viburnum alnifolium,Viorne bois-d'orignal,,,
Vicas,VIC,,Viburnum cassinoides,Viorne cassinoïdes,,,
Viedu,VIE,,Viburnum edule,Viorne comestible,,,
Virip,VIR,,Vitis riparia,Vigne des rivages,,,
Vitri,VIT,,Viburnum trilobum,Viorne trilobée,,,
,,MH,,Mélèze hybride,,,
,,FX,,Feuillus indéterminés,,,
,AME,,Amelanchier sp.,Amélanchier,,,
,,FT,,Association de feuillus tolérants,,,
,,EP,,Combinaison des épinettes,,,
,,RX,,Résineux indéterminés,,,
,,PO,,Peuplier européen,,,
,,RF,,Robinier faux-acacia,,,
,,FN,,Association de feuillus non commerciaux,,,
,,FH,,Association de feuillus sur station humide,,,
,,PI,,Combinaison des pins,,,
,,SE,,Association de sapin et d'épinette blanche,,,
,,PF,,Peuplier blanc,,,
,,FZ,,Feuillus plantés indéterminés,,,
,SAL,,Salix sp.,Saule,,,
,,CP,,Chêne pédonculé,,,
,,FI,,Association de feuillus intolérants,,,
,,PE,,Combinaison des peupliers,,,
,,PN,,Peuplier d'Italie,,,
,,PV,,Platane occidental,,,
,CRA,,Crataegus sp.,Aubépines,,,
,,ER,,Combinaison des érables,,,
,PEH,PH,Populus sp.,Peuplier hybride,,,
,,RZ,,Résineux plantés indéterminés,,,
,,OR,,Combinaison des ormes,,,
,JUN,,Juniperus sp.,Genévriers,,,
,,CH,,Combinaison des chênes,,,
,MAS,,Malus sp.,Pommiers,,,
,,NN,,Noyer noir,,,
